,,,beta1,,best_tes,,dc,ks,nd,hi,
0,0.001,0,1,0,0.862772344,0.851206028,0.663197414,0.66855813,0.841953955,0.66827771,
0,0.001,0,1.2,0,0.840513841,0.809511454,0.679851927,0.686097655,0.823983633,0.68566419,
0,0.001,0,1.4,0,0.885530519,0.880791772,0.695172573,0.701230486,0.809880592,0.70086415,
0,0.001,0,1.6,0,0.8640215,0.849414399,0.70813297,0.714498736,0.795202412,0.714323183,
0,0.001,0,1.8,0,0.865718379,0.859597416,0.722028064,0.728298277,0.780177036,0.728064921,
0,0.001,0,2,0,0.872420062,0.864923807,0.730749926,0.736976161,0.772937328,0.736785429,
0,0.001,0,2.2,0,0.878295904,0.866981122,0.741005069,0.74753824,0.76221101,0.747342493,
0,0.001,0,2.4,0,0.864507387,0.870150803,0.747441874,0.754459183,0.755130622,0.754369587,
0,0.001,0,2.6,0,0.881095964,0.864494474,0.753450368,0.760266531,0.749555915,0.760097943,
0,0.001,0,2.8,0,0.884270832,0.860595565,0.760840219,0.768109737,0.740562788,0.768128558,
0,0.001,0,3,0,0.879837783,0.865722327,0.765947464,0.772932731,0.737286366,0.772927424,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
dc,0.663197414,0.679851927,0.695172573,0.70813297,0.722028064,0.730749926,0.741005069,0.747441874,0.753450368,0.760840219,0.765947464
ks,0.66855813,0.686097655,0.701230486,0.714498736,0.728298277,0.736976161,0.74753824,0.754459183,0.760266531,0.768109737,0.772932731
nd,0.841953955,0.823983633,0.809880592,0.795202412,0.780177036,0.772937328,0.76221101,0.755130622,0.749555915,0.740562788,0.737286366
hi,0.66827771,0.68566419,0.70086415,0.714323183,0.728064921,0.736785429,0.747342493,0.754369587,0.760097943,0.768128558,0.772927424
